Gender,Age Group,Living Situation,Parent Education Level,Family Financial Status,Class,Department,Performance in English,Performance in Maths,Performance in Biology,Performance in Physics,Performance in Chemistry,Performance in Lit in English,Performance in Government,Performance in CRS,Performance in Commerce,Performance in Accounting,Performance in Economics,Study Hours per Week,Extra Tutoring,School Attendance,Experienced Bullying,Peer Pressure,Parents Attend Parent-Teacher Meeting,Confidence in Academic Ability,Access to Counseling,Motivation for Attending School,Last Exam Performance,Foundational Knowledge
Female,15 - 16,Both parents,Post-graduate education,We meet our needs but can't afford luxuries,SS2,Science,Excellent,Good,Excellent,Excellent,Excellent,Nil,Nil,Nil,Nil,Nil,Nil,Less than 5 hours,No,Every day,Frequently,Frequently,Never,Somewhat confident,I'm not sure,To learn and gain knowledge,60% - 69%,Average
Female,15 - 16,Both parents,Higher Education,We can afford some luxuries,SS3,Science,Good,Good,Good,Fair,Good,Nil,Nil,Nil,Nil,Nil,Nil,5 - 10 hours,Occasionally,Every day,Occasionally,Occasionally,Regularly,Not confident,I'm not sure,To prepare for a good career,70% - 100%,Strong
Male,15 - 16,Both parents,Post-graduate education,We meet our needs but can't afford luxuries,SS3,Science,Fair,Fair,Good,Good,Fair,Nil,Nil,Nil,Nil,Nil,Nil,Less than 5 hours,Regularly,Most days,Never,Occasionally,Sometimes,Somewhat confident,Yes,To prepare for a good career,60% - 69%,Average
Male,12 - 14,Both parents,Higher Education,We can afford some luxuries,SS3,Science,Good,Excellent,Good,Excellent,Excellent,Nil,Nil,Nil,Nil,Nil,Nil,5 - 10 hours,No,Every day,Never,Occasionally,Sometimes,Very confident,Yes,To learn and gain knowledge,70% - 100%,Average
Male,15 - 16,Single parent,Higher Education,We are financially comfortable,SS3,Science,Good,Fair,Good,Good,Fair,Nil,Nil,Nil,Nil,Nil,Nil,Less than 5 hours,Occasionally,Every day,Never,Never,Sometimes,Somewhat confident,No,To prepare for a good career,60% - 69%,Strong
Male,15 - 16,Both parents,Higher Education,We are financially comfortable,SS3,Commercial,Good,Fair,Nil,Nil,Nil,Nil,Nil,Nil,Fair,Fair,Excellent,More than 10 hours,No,Every day,Frequently,Frequently,Regularly,Not confident,Yes,To prepare for a good career,Below 40%,Weak
Female,12 - 14,Both parents,Post-graduate education,We are financially comfortable,SS3,Science,Good,Good,Good,Excellent,Excellent,Nil,Nil,Nil,Nil,Nil,Nil,Less than 5 hours,Regularly,Every day,Never,Never,Sometimes,Somewhat confident,I'm not sure,To prepare for a good career,60% - 69%,Average
Female,12 - 14,Both parents,Post-graduate education,We can afford some luxuries,SS3,Humanities,Good,Good,Nil,Nil,Nil,Good,Good,Good,Nil,Nil,Nil,More than 10 hours,Occasionally,Every day,Occasionally,Never,Regularly,Somewhat confident,Yes,To learn and gain knowledge,60% - 69%,Average
Female,15 - 16,Both parents,Post-graduate education,We can afford some luxuries,SS3,Science,Good,Excellent,Good,Fair,Good,Nil,Nil,Nil,Nil,Nil,Nil,Less than 5 hours,No,Every day,Never,Never,Never,Somewhat confident,No,To learn and gain knowledge,70% - 100%,Average
Female,15 - 16,Both parents,Primary school,We meet our needs but can't afford luxuries,SS3,Humanities,Excellent,Good,Nil,Nil,Nil,Excellent,Excellent,Excellent,Nil,Nil,Nil,Less than 5 hours,No,Every day,Never,Never,Sometimes,Very confident,I'm not sure,To prepare for a good career,70% - 100%,Strong
Female,15 - 16,Both parents,Secondary school,We struggle to meet basic needs,SS3,Humanities,Excellent,Good,Nil,Nil,Nil,Good,Excellent,Excellent,Nil,Nil,Nil,Less than 5 hours,No,Every day,Occasionally,Never,Sometimes,Very confident,I'm not sure,To prepare for a good career,60% - 69%,Strong
Male,15 - 16,Both parents,Post-graduate education,We are financially comfortable,SS3,Science,Good,Fair,Good,Good,Excellent,Nil,Nil,Nil,Nil,Nil,Nil,More than 10 hours,No,Every day,Occasionally,Occasionally,Sometimes,Not confident,I'm not sure,To prepare for a good career,60% - 69%,Strong
Female,15 - 16,Both parents,Higher Education,We can afford some luxuries,SS3,Humanities,Good,Good,Nil,Nil,Nil,Excellent,Excellent,Excellent,Nil,Nil,Nil,Less than 5 hours,No,Every day,Never,Never,Sometimes,Very confident,Yes,To learn and gain knowledge,60% - 69%,Average
Male,15 - 16,Both parents,Secondary school,We meet our needs but can't afford luxuries,SS3,Humanities,Excellent,Excellent,Nil,Nil,Nil,Good,Good,Good,Nil,Nil,Nil,More than 10 hours,No,Every day,Occasionally,Never,Regularly,Very confident,Yes,To learn and gain knowledge,60% - 69%,Average
Male,12 - 14,Both parents,Post-graduate education,We can afford some luxuries,SS3,Science,Excellent,Good,Good,Good,Good,Nil,Nil,Nil,Nil,Nil,Nil,Less than 5 hours,No,Every day,Never,Never,Sometimes,Somewhat confident,Yes,To prepare for a good career,70% - 100%,Strong
Female,15 - 16,Both parents,Higher Education,We are financially comfortable,SS3,Humanities,Good,Fair,Nil,Nil,Nil,Fair,Excellent,Excellent,Nil,Nil,Nil,5 - 10 hours,Regularly,Every day,Never,Occasionally,Sometimes,Somewhat confident,No,To learn and gain knowledge,70% - 100%,Strong
Male,17 - 18,Both parents,Post-graduate education,We are financially comfortable,SS3,Science,Good,Excellent,Good,Excellent,Good,Nil,Nil,Nil,Nil,Nil,Nil,5 - 10 hours,Regularly,Every day,Never,Never,Regularly,Very confident,Yes,To learn and gain knowledge,70% - 100%,Strong
Female,15 - 16,Both parents,Higher Education,We can afford some luxuries,SS3,Science,Good,Excellent,Good,Excellent,Good,Nil,Nil,Nil,Nil,Nil,Nil,Less than 5 hours,Occasionally,Every day,Never,Never,Regularly,Somewhat confident,I'm not sure,To learn and gain knowledge,60% - 69%,Average
Female,15 - 16,Both parents,Higher Education,We are financially comfortable,SS3,Commercial,Good,Excellent,Nil,Nil,Nil,Nil,Nil,Nil,Excellent,Excellent,Good,Less than 5 hours,No,Every day,Never,Never,Sometimes,Somewhat confident,Yes,To prepare for a good career,70% - 100%,Strong
Female,15 - 16,Both parents,Higher Education,We can afford some luxuries,SS3,Science,Good,Excellent,Good,Excellent,Good,Nil,Nil,Nil,Nil,Nil,Nil,Less than 5 hours,Occasionally,Every day,Never,Never,Sometimes,Very confident,Yes,To learn and gain knowledge,70% - 100%,Strong
Female,15 - 16,Both parents,Higher Education,We meet our needs but can't afford luxuries,SS3,Humanities,Good,Excellent,Nil,Nil,Nil,Good,Excellent,Excellent,Nil,Nil,Nil,5 - 10 hours,No,Every day,Occasionally,Occasionally,Never,Somewhat confident,Yes,To prepare for a good career,70% - 100%,Strong
Male,15 - 16,Single parent,Post-graduate education,We are financially comfortable,SS3,Science,Good,Good,Fair,Good,Good,Nil,Nil,Nil,Nil,Nil,Nil,Less than 5 hours,Regularly,Every day,Never,Frequently,Sometimes,Somewhat confident,I'm not sure,To prepare for a good career,70% - 100%,Strong
Female,15 - 16,Both parents,Post-graduate education,We can afford some luxuries,SS3,Humanities,Fair,Good,Nil,Nil,Nil,Fair,Fair,Excellent,Nil,Nil,Nil,Less than 5 hours,No,Every day,Never,Occasionally,Regularly,Not confident,I'm not sure,To meet family expectations,60% - 69%,Strong
Female,15 - 16,Both parents,Post-graduate education,We are financially comfortable,SS3,Humanities,Excellent,Fair,Nil,Nil,Nil,Excellent,Good,Excellent,Nil,Nil,Nil,Less than 5 hours,No,Every day,Never,Never,Regularly,Somewhat confident,No,Others,70% - 100%,Strong
Male,15 - 16,Both parents,Post-graduate education,We are financially comfortable,SS3,Science,Good,Excellent,Good,Good,Good,Nil,Nil,Nil,Nil,Nil,Nil,Less than 5 hours,Occasionally,Every day,Occasionally,Never,Sometimes,Somewhat confident,Yes,To prepare for a good career,70% - 100%,Strong
Female,12 - 14,Both parents,Post-graduate education,We can afford some luxuries,SS3,Science,Good,Good,Good,Fair,Excellent,Nil,Nil,Nil,Nil,Nil,Nil,5 - 10 hours,Occasionally,Every day,Never,Never,Sometimes,Somewhat confident,No,To learn and gain knowledge,60% - 69%,Average
Female,12 - 14,Both parents,Post-graduate education,We can afford some luxuries,SS3,Science,Good,Good,Excellent,Fair,Good,Nil,Nil,Nil,Nil,Nil,Nil,Less than 5 hours,Occasionally,Every day,Never,Never,Never,Somewhat confident,No,To prepare for a good career,60% - 69%,Average
Female,15 - 16,Both parents,Post-graduate education,We are financially comfortable,SS3,Science,Excellent,Good,Good,Good,Fair,Nil,Nil,Nil,Nil,Nil,Nil,Less than 5 hours,No,Every day,Never,Never,Regularly,Very confident,Yes,To learn and gain knowledge,60% - 69%,Average
Male,12 - 14,Both parents,Post-graduate education,We are financially comfortable,SS3,Science,Good,Good,Good,Good,Fair,Nil,Nil,Nil,Nil,Nil,Nil,Less than 5 hours,Regularly,Every day,Never,Occasionally,Sometimes,Somewhat confident,Yes,To prepare for a good career,60% - 69%,Average
Female,15 - 16,Both parents,Post-graduate education,We can afford some luxuries,SS3,Science,Excellent,Good,Good,Fair,Good,Nil,Nil,Nil,Nil,Nil,Nil,Less than 5 hours,No,Every day,Never,Never,Sometimes,Somewhat confident,Yes,To learn and gain knowledge,60% - 69%,Average
Male,15 - 16,Both parents,Higher Education,We are financially comfortable,SS3,Science,Fair,Excellent,Fair,Fair,Poor,Nil,Nil,Nil,Nil,Nil,Nil,Less than 5 hours,Occasionally,Every day,Occasionally,Never,Regularly,Somewhat confident,I'm not sure,To prepare for a good career,60% - 69%,Average
Male,12 - 14,Both parents,Post-graduate education,We are financially comfortable,SS3,Science,Good,Good,Good,Good,Poor,Nil,Nil,Nil,Nil,Nil,Nil,Less than 5 hours,No,Every day,Never,Never,Sometimes,Somewhat confident,Yes,To learn and gain knowledge,70% - 100%,Average
Female,15 - 16,Both parents,Higher Education,We can afford some luxuries,SS3,Science,Good,Excellent,Excellent,Good,Good,Nil,Nil,Nil,Nil,Nil,Nil,5 - 10 hours,No,Every day,Occasionally,Occasionally,Sometimes,Somewhat confident,Yes,To meet family expectations,70% - 100%,Strong
Female,15 - 16,Both parents,Post-graduate education,We are financially comfortable,SS3,Science,Excellent,Good,Good,Fair,Fair,Nil,Nil,Nil,Nil,Nil,Nil,Less than 5 hours,No,Every day,Never,Never,Sometimes,Somewhat confident,Yes,To prepare for a good career,60% - 69%,Strong
Female,15 - 16,Guardian,Higher Education,We are financially comfortable,SS3,Commercial,Good,Fair,Excellent,Good,Good,Nil,Nil,Nil,Good,Good,Excellent,Less than 5 hours,Regularly,Every day,Never,Occasionally,Never,Somewhat confident,Yes,To prepare for a good career,60% - 69%,Average
Female,12 - 14,Both parents,Post-graduate education,We are financially comfortable,SS3,Humanities,Excellent,Good,Nil,Nil,Nil,Excellent,Excellent,Excellent,Nil,Nil,Nil,5 - 10 hours,No,Every day,Never,Occasionally,Sometimes,Very confident,Yes,To prepare for a good career,70% - 100%,Average
Female,15 - 16,Guardian,Higher Education,We are financially comfortable,SS2,Humanities,Excellent,Good,Nil,Nil,Nil,Good,Good,Excellent,Nil,Nil,Nil,More than 15 hours,No,Every day,Frequently,Frequently,Never,Somewhat confident,No,To learn and gain knowledge,70% - 100%,Average
Female,15 - 16,Both parents,No formal education,We struggle to meet basic needs,SS3,Humanities,Excellent,Good,Nil,Nil,Nil,Excellent,Good,Excellent,Nil,Nil,Nil,Less than 5 hours,No,Every day,Frequently,Frequently,Never,Very confident,Yes,To learn and gain knowledge,70% - 100%,Strong
Female,15 - 16,Both parents,Post-graduate education,We can afford some luxuries,SS2,Humanities,Excellent,Poor,Nil,Nil,Nil,Good,Good,Excellent,Nil,Nil,Nil,Less than 5 hours,Occasionally,Every day,Never,Never,Never,Not confident,I'm not sure,To prepare for a good career,60% - 69%,Strong
Female,15 - 16,Both parents,Secondary school,We struggle to meet basic needs,SS3,Humanities,Good,Good,Nil,Nil,Nil,Good,Fair,Good,Nil,Nil,Nil,Less than 5 hours,Regularly,Every day,Frequently,Occasionally,Sometimes,Not confident,Yes,To learn and gain knowledge,40% - 59%,Weak
Male,12 - 14,Both parents,Post-graduate education,We are financially comfortable,SS1,Science,Excellent,Excellent,Excellent,Excellent,Excellent,Nil,Nil,Nil,Nil,Nil,Nil,More than 10 hours,Regularly,Every day,Occasionally,Never,Regularly,Very confident,Yes,To prepare for a good career,70% - 100%,Strong
Female,15 - 16,Both parents,Secondary school,We meet our needs but can't afford luxuries,SS2,Commercial,Good,Fair,Nil,Nil,Nil,Nil,Nil,Nil,Fair,Fair,Good,Less than 5 hours,No,Every day,Occasionally,Frequently,Sometimes,Somewhat confident,I'm not sure,To avoid being bored at home,40% - 59%,Weak
Male,15 - 16,Guardian,Post-graduate education,We are financially comfortable,SS3,Science,Good,Good,Good,Good,Good,Nil,Nil,Nil,Nil,Nil,Nil,Less than 5 hours,Occasionally,Every day,Occasionally,Occasionally,Never,Not confident,No,To prepare for a good career,60% - 69%,Weak
